FromNodeId,ToNodeId
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
0,14
0,15
0,16
0,17
0,18
0,19
0,20
0,21
0,22
0,23
0,24
0,25
0,26
0,27
0,28
0,29
0,30
0,31
0,32
0,33
0,34
0,35
0,36
0,37
0,38
0,39
0,40
0,41
0,42
0,43
0,44
0,45
0,46
0,47
0,48
0,49
0,50
0,51
0,52
0,53
0,54
0,55
0,56
0,57
0,58
0,59
0,60
0,61
0,62
0,63
0,64
1,65
1,66
1,67
1,68
1,69
1,70
1,71
1,72
1,73
1,56
1,35
1,36
1,74
1,75
1,76
1,77
1,78
1,41
1,79
1,80
1,81
1,82
1,83
1,84
1,54
1,85
1,86
1,87
1,88
1,63
1,89
1,90
1,91
1,92
1,93
2,94
2,95
3,96
3,98
3,108
3,109
3,110
3,111
3,112
3,113
3,114
3,115
3,116
3,117
3,118
3,119
3,120
3,121
3,122
3,123
3,124
3,125
3,126
3,127
3,41
3,128
3,129
3,130
3,131
3,132
3,133
3,104
3,134
3,135
3,136
3,137
3,138
3,139
3,140
3,141
3,142
3,143
3,144
3,145
3,146
3,147
3,148
3,149
3,150
3,151
3,152
3,153
3,154
3,155
3,156
3,157
3,158
3,159
3,160
3,161
3,162
3,163
3,164
3,165
3,166
3,167
3,168
3,169
3,170
3,171
3,172
3,173
3,174
3,175
3,176
3,177
3,66
3,178
3,179
3,180
3,181
3,182
3,183
3,88
3,184
3,185
3,186
3,187
3,188
4,694
4,672
4,695
4,696
4,697
4,698
4,699
4,700
4,701
4,684
4,702
4,703
4,704
4,705
4,706
4,707
5,808
5,809
5,810
5,67
5,811
5,812
5,813
5,814
5,760
5,815
5,816
5,394
5,817
5,623
5,818
5,819
5,820
5,821
5,50
5,822
5,823
5,824
5,169
5,166
5,825
5,826
5,827
5,828
5,829
5,830
5,831
5,64
5,832
5,833
6,109
6,264
6,548
6,708
6,834
6,835
6,836
6,837
6,838
6,839
6,840
6,841
6,842
7,98
7,1009
7,575
7,1010
7,1011
7,1012
7,246
7,735
7,1013
7,326
7,1014
7,133
7,918
7,1015
7,905
7,1016
7,1017
7,1018
7,1019
7,1020
7,1021
7,1022
8,110
8,234
8,1409
8,1410
8,1411
8,979
8,238
8,1412
8,787
8,1238
8,910
8,47
8,1413
8,1414
8,1415
8,1416
8,1288
9,108
9,230
9,258
9,267
9,110
9,541
9,542
9,543
9,234
9,544
9,545
9,546
9,547
9,548
9,549
9,550
9,551
9,552
9,553
9,554
9,269
9,555
9,556
9,557
9,558
9,559
9,560
9,561
9,562
9,563
9,564
9,565
9,566
9,567
9,568
9,403
9,569
9,570
9,307
9,571
9,572
9,573
9,292
9,574
9,329
9,575
9,576
9,577
9,578
9,579
9,580
9,581
9,582
9,348
9,583
9,584
9,585
9,586
9,493
9,587
9,588
9,589
9,58
9,172
9,590
9,65
9,133
9,591
9,122
9,592
9,113
9,593
9,382
9,594
9,595
9,596
9,597
9,439
9,598
9,121
9,140
9,599
9,600
9,535
9,601
10,264
10,631
10,542
10,564
10,541
10,428
10,548
10,371
10,269
10,772
10,638
10,773
10,774
10,390
10,573
10,289
10,67
10,775
10,776
10,777
10,367
10,778
10,308
10,779
10,780
10,781
10,782
10,783
10,784
10,215
10,41
10,785
10,708
10,271
10,786
10,787
10,350
10,788
10,789
10,382
10,639
10,586
10,790
10,133
10,791
10,792
10,469
10,793
10,794
10,795
10,796
10,797
10,122
10,798
10,799
10,800
10,801
10,802
10,803
10,656
10,804
10,147
10,805
10,806
10,807
10,594
11,843
11,1345
11,271
12,713
12,1600
12,1601
12,1602
12,313
12,787
12,1603
12,1604
12,690
12,1191
12,1605
12,1606
12,1607
12,291
12,1608
13,98
13,542
13,22
13,1121
13,1593
13,988
13,736
13,745
13,58
14,233
14,620
14,1765
14,1766
14,41
14,291
14,610
14,1767
14,710
14,1768
15,1527
16,258
16,846
16,677
16,847
17,711
17,728
17,1527
17,1834
17,1894
17,1895
17,1896
18,233
18,631
18,234
18,733
18,1996
18,556
18,307
18,620
18,1997
18,463
18,494
18,119
18,120
18,1998
18,499
18,1999
18,514
18,2000
18,502
18,133
18,2001
18,2002
18,2003
18,2004
18,1186
18,2005
18,1470
18,60
18,203
18,666
18,1608
18,161
18,2006
18,2007
18,150
18,2008
18,1483
18,2009
18,2010
18,1757
18,2011
18,914
18,348
18,2012
18,2013
18,92
18,2014
18,2015
18,1387
18,2016
19,232
19,110
19,1051
19,1897
19,1898
19,1899
19,1900
19,989
19,1170
19,1059
19,1901
19,1227
19,1902
19,1077
19,1903
19,1866
19,1904
20,694
20,1346
20,79
20,1804
20,1931
20,604
20,1932
20,753
20,1933
20,1923
20,1623
20,1934
20,1130
20,1935
20,1936
20,1915
20,1626
20,78
20,1823
20,58
20,1937
20,1059
20,49
20,1591
20,1077
20,866
20,889
20,1938
20,1125
20,1719
20,1939
20,1940
20,1941
20,1679
21,1009
21,713
21,695
21,1487
21,583
21,569
21,39
21,348
21,1488
21,1489
21,1490
21,1014
21,1491
21,1492
21,1493
21,1467
21,82
21,1494
22,232
22,541
22,1131
22,234
22,65
22,68
22,67
22,1132
22,554
22,1133
22,575
22,1134
22,1119
22,955
22,1135
22,1136
22,1137
22,281
22,1138
22,269
22,1139
22,564
22,1140
22,1117
22,326
22,1141
22,1142
22,1143
22,1144
22,1145
22,245
22,259
22,1146
22,1147
22,309
22,390
22,959
22,1148
22,453
22,716
22,348
22,436
22,775
22,1149
22,1150
22,1151
22,406
22,1152
22,244
22,1153
22,1154
22,1155
22,357
22,1156
22,660
22,1157
22,1158
22,1159
22,1160
22,739
22,1161
22,1162
22,1163
22,73
22,1164
22,1165
22,292
22,363
22,1166
22,1167
22,1168
22,77
22,1169
22,786
22,1170
22,215
22,1171
22,644
22,592
22,484
22,679
22,1172
22,386
22,1173
22,1174
22,1175
22,1176
22,1177
22,251
22,1178
22,142
22,787
22,1179
22,1180
22,93
22,918
22,1181
22,1182
22,806
22,690
22,1183
22,929
22,1184
22,1185
22,350
22,1186
22,802
22,1187
22,1188
22,1189
22,1190
22,1191
22,1192
22,1193
22,1194
22,1195
22,1196
22,706
22,384
22,1197
22,1198
22,504
22,1199
22,1200
22,1201
22,938
22,1202
22,1203
22,1204
22,1205
22,324
22,1206
22,1207
22,1208
22,1209
22,1210
22,1211
22,1212
22,1213
22,553
22,1214
22,1215
22,1216
22,825
22,1217
22,1218
22,457
22,1219
22,805
22,1220
22,1221
22,1222
22,113
22,1223
22,58
22,1224
22,1225
22,1226
22,1227
22,1228
22,839
22,1229
22,1230
22,1231
22,1232
22,429
22,762
22,1233
22,1234
22,43
22,1235
22,1236
22,1237
22,1238
22,1239
22,946
22,1240
22,1241
22,1242
22,1243
22,1244
22,1245
22,1246
22,1247
22,1248
22,1249
22,1250
22,1251
22,1252
22,1253
22,1254
22,1255
22,1256
22,941
22,1257
22,1258
22,1259
22,417
22,1260
22,1261
